name,value,year,lastValue,rank
Language Centre,4208,2017.5,4208,7
Language Centre,4351,2017.6,4208,7
Language Centre,4351,2017.7,4351,7
Language Centre,4401,2017.8,4351,7
Language Centre,4421,2017.9,4401,7
Language Centre,4421,2018.0,4421,7
Language Centre,4446,2018.1,4421,7
Language Centre,4446,2018.2,4446,7
Language Centre,4446,2018.3,4446,7
Language Centre,4446,2018.4,4446,7
Language Centre,4446,2018.5,4446,7
Language Centre,4446,2018.6,4446,7
Language Centre,4446,2018.7,4446,7
Language Centre,4521,2018.8,4446,7
Language Centre,4581,2018.9,4521,7
Language Centre,4581,2019.0,4581,7
Language Centre,4581,2019.1,4581,7
Language Centre,4581,2019.2,4581,7
Language Centre,4581,2019.3,4581,7
