name,value,year,lastValue,rank
ARTS,466406,2017.6,466406,1
ARTS,608380,2017.7,466406,1
ARTS,533233,2017.8,608380,1
ARTS,488515,2017.9,533233,1
ARTS,595876,2018.0,488515,1
ARTS,538336,2018.1,595876,1
ARTS,387564,2018.2,538336,1
ARTS,442037,2018.3,387564,1
ARTS,457861,2018.4,442037,1
ARTS,496958,2018.5,457861,1
ARTS,510463,2018.6,496958,1
ARTS,439351,2018.7,510463,1
ARTS,517723,2018.8,439351,1
ARTS,394176,2018.9,517723,1
ARTS,290443,2019.0,394176,1
ARTS,315451,2019.1,290443,1
ARTS,293688,2019.2,315451,1
BIZ,141152,2017.6,141152,6
BIZ,440203,2017.7,141152,2
BIZ,359449,2017.8,440203,2
BIZ,303255,2017.9,359449,2
BIZ,332088,2018.0,303255,2
BIZ,315557,2018.1,332088,2
BIZ,210869,2018.2,315557,2
BIZ,227271,2018.3,210869,2
BIZ,206753,2018.4,227271,2
BIZ,217949,2018.5,206753,3
BIZ,225281,2018.6,217949,3
BIZ,231626,2018.7,225281,2
BIZ,276631,2018.8,231626,2
BIZ,194878,2018.9,276631,2
BIZ,157162,2019.0,194878,4
BIZ,211610,2019.1,157162,2
BIZ,189633,2019.2,211610,2
CHEM,94549,2017.6,94549,10
CHEM,250642,2017.7,94549,3
CHEM,273658,2017.8,250642,3
CHEM,233480,2017.9,273658,3
CHEM,256936,2018.0,233480,3
CHEM,243804,2018.1,256936,3
CHEM,177675,2018.2,243804,3
CHEM,191228,2018.3,177675,3
CHEM,196273,2018.4,191228,3
CHEM,232150,2018.5,196273,2
CHEM,240102,2018.6,232150,2
CHEM,210296,2018.7,240102,3
CHEM,226949,2018.8,210296,3
CHEM,177626,2018.9,226949,3
CHEM,163673,2019.0,177626,3
CHEM,175691,2019.1,163673,3
CHEM,163759,2019.2,175691,4
learn-c-plus-plus,275421,2019.0,275421,2
learn-c-plus-plus,92565,2019.1,275421,9
learn-c-plus-plus,125718,2019.2,92565,5
welcome-to-codecademy,49431,2018.2,49431,8
welcome-to-codecademy,65773,2018.3,49431,8
welcome-to-codecademy,47088,2018.4,65773,9
welcome-to-codecademy,34075,2018.5,47088,11
welcome-to-codecademy,35066,2018.6,34075,11
welcome-to-codecademy,31930,2018.7,35066,12
welcome-to-codecademy,29611,2018.9,31930,15
