Country Name,Region,2018
ARTS: all courses,ARTS,819
ARTS: Supported courses,ARTS,20
BIZ: all courses,BIZ,436
BIZ: Supported courses,BIZ,24
CHEM: all courses,CHEM,158
CHEM: Supported courses,CHEM,16
ELEC: all courses,ELEC,209
ELEC: Supported courses,ELEC,22
ENG: all courses,ENG,222
ENG: Supported courses,ENG,24
KIE: all courses,KIE,449
KIE: Supported courses,KIE,49
SCI: all courses,SCI,363
SCI: Supported courses,SCI,30
