name,value,year,lastValue,rank
BIZ,2360,2018.5,75,3
CHEM,53,2018.5,0,4
ELEC,2344,2018.5,0,1
ENG,1533,2018.5,145,5
Language Centre,4446,2018.5,0,6
SCI,6984,2018.5,0,7
ARTS,413,2018.6,70,5
BIZ,2360,2018.6,0,4
CHEM,53,2018.6,0,3
ELEC,2344,2018.6,470,2
ENG,1983,2018.6,0,1
Language Centre,4446,2018.6,0,6
SCI,6984,2018.6,0,7
ARTS,413,2018.7,0,1
BIZ,2360,2018.7,0,2
CHEM,53,2018.7,0,3
ELEC,2344,2018.7,0,4
ENG,1983,2018.7,450,5
Language Centre,4446,2018.7,0,6
SCI,6984,2018.7,0,7
ARTS,413,2018.8,0,7
BIZ,2530,2018.8,0,1
CHEM,53,2018.8,0,6
ELEC,2430,2018.8,0,2
ENG,1983,2018.8,0,5
Language Centre,4521,2018.8,0,3
SCI,6984,2018.8,0,4
ARTS,413,2018.09,0,3
BIZ,2580,2018.09,170,2
CHEM,53,2018.09,0,4
ELEC,2430,2018.09,86,5
ENG,2233,2018.09,0,1
Language Centre,4521,2018.09,75,6
SCI,6984,2018.09,0,7
ARTS,413,2018.010,0,1
BIZ,2580,2018.010,50,2
CHEM,53,2018.010,0,3
ELEC,2430,2018.010,0,4
ENG,2233,2018.010,250,5
Language Centre,4521,2018.010,0,6
SCI,6984,2018.010,0,7
ARTS,413,2018.011,0,3
BIZ,2640,2018.011,0,1
CHEM,53,2018.011,0,4
ELEC,2430,2018.011,0,5
ENG,2233,2018.011,0,6
Language Centre,4581,2018.011,0,2
SCI,6984,2018.011,0,7
ARTS,413,2018.012,0,1
BIZ,2640,2018.012,60,2
CHEM,53,2018.012,0,3
ELEC,2430,2018.012,0,4
ENG,2233,2018.012,0,5
Language Centre,4581,2018.012,60,6
SCI,6984,2018.012,0,7
ARTS,533,2019.01,0,2
BIZ,2720,2019.01,0,3
CHEM,365,2019.01,0,1
ELEC,2430,2019.01,0,4
ENG,2233,2019.01,0,5
Language Centre,4581,2019.01,0,6
SCI,6984,2019.01,0,7
ARTS,533,2019.02,120,1
BIZ,2720,2019.02,80,2
CHEM,365,2019.02,312,3
ELEC,2430,2019.02,0,4
ENG,2233,2019.02,0,5
Language Centre,4581,2019.02,0,6
SCI,6984,2019.02,0,7
ARTS,533,2019.03,0,2
BIZ,3070,2019.03,0,1
CHEM,365,2019.03,0,3
ELEC,2430,2019.03,0,4
ENG,2233,2019.03,0,5
Language Centre,4581,2019.03,0,6
SCI,6984,2019.03,0,7
