School,ValueEnroll,Year.Month,lastValue,CummulativeSum,Rank
ELEC,0,2017.11.00,0,1759,4
ENG,0,2017.11.00,0,1388,5
Language Centre,0,2017.11.00,0,4421,6
SCI,0,2017.11.00,52,6619,7
ARTS,0,2017.12.00,0,323,1
BIZ,0,2017.12.00,0,817,2
CHEM,0,2017.12.00,0,53,3
ELEC,0,2017.12.00,0,1759,4
ENG,0,2017.12.00,0,1388,5
Language Centre,0,2017.12.00,0,4421,6
SCI,0,2017.12.00,0,6619,7
ARTS,20,2018.01.00,0,343,5
BIZ,435,2018.01.00,0,1252,1
CHEM,0,2018.01.00,0,53,6
ELEC,115,2018.01.00,0,1874,3
ENG,0,2018.01.00,0,1388,7
Language Centre,25,2018.01.00,0,4446,4
SCI,365,2018.01.00,0,6984,2
ARTS,0,2018.02.00,20,343,1
BIZ,0,2018.02.00,435,1252,2
CHEM,0,2018.02.00,0,53,3
ELEC,0,2018.02.00,115,1874,4
ENG,0,2018.02.00,0,1388,5
Language Centre,0,2018.02.00,25,4446,6
SCI,0,2018.02.00,365,6984,7
ARTS,0,2018.03.00,0,343,2
BIZ,1033,2018.03.00,0,2285,1
CHEM,0,2018.03.00,0,53,3
ELEC,0,2018.03.00,0,1874,4
ENG,0,2018.03.00,0,1388,5
Language Centre,0,2018.03.00,0,4446,6
SCI,0,2018.03.00,0,6984,7
ARTS,0,2018.04.00,0,343,3
BIZ,75,2018.04.00,1033,2360,2
CHEM,0,2018.04.00,0,53,4
ELEC,0,2018.04.00,0,1874,5
ENG,145,2018.04.00,0,1533,1
Language Centre,0,2018.04.00,0,4446,6
SCI,0,2018.04.00,0,6984,7
ARTS,70,2018.05.00,0,413,2
BIZ,0,2018.05.00,75,2360,3
CHEM,0,2018.05.00,0,53,4
ELEC,470,2018.05.00,0,2344,1
ENG,0,2018.05.00,145,1533,5
Language Centre,0,2018.05.00,0,4446,6
SCI,0,2018.05.00,0,6984,7
ARTS,0,2018.06.00,70,413,5
BIZ,0,2018.06.00,0,2360,4
CHEM,0,2018.06.00,0,53,3
ELEC,0,2018.06.00,470,2344,2
ENG,450,2018.06.00,0,1983,1
Language Centre,0,2018.06.00,0,4446,6
SCI,0,2018.06.00,0,6984,7
ARTS,0,2018.07.00,0,413,1
BIZ,0,2018.07.00,0,2360,2
CHEM,0,2018.07.00,0,53,3
ELEC,0,2018.07.00,0,2344,4
ENG,0,2018.07.00,450,1983,5
Language Centre,0,2018.07.00,0,4446,6
SCI,0,2018.07.00,0,6984,7
ARTS,0,2018.08.00,0,413,7
BIZ,170,2018.08.00,0,2530,1
CHEM,0,2018.08.00,0,53,6
ELEC,86,2018.08.00,0,2430,2
ENG,0,2018.08.00,0,1983,5
Language Centre,75,2018.08.00,0,4521,3
SCI,0,2018.08.00,0,6984,4
ARTS,0,2018.09.00,0,413,3
BIZ,50,2018.09.00,170,2580,2
CHEM,0,2018.09.00,0,53,4
ELEC,0,2018.09.00,86,2430,5
ENG,250,2018.09.00,0,2233,1
Language Centre,0,2018.09.00,75,4521,6
SCI,0,2018.09.00,0,6984,7
ARTS,0,2018.10.00,0,413,1
BIZ,0,2018.10.00,50,2580,2
CHEM,0,2018.10.00,0,53,3
ELEC,0,2018.10.00,0,2430,4
ENG,0,2018.10.00,250,2233,5
Language Centre,0,2018.10.00,0,4521,6
SCI,0,2018.10.00,0,6984,7
ARTS,0,2018.11.00,0,413,3
BIZ,60,2018.11.00,0,2640,1
CHEM,0,2018.11.00,0,53,4
ELEC,0,2018.11.00,0,2430,5
ENG,0,2018.11.00,0,2233,6
Language Centre,60,2018.11.00,0,4581,2
SCI,0,2018.11.00,0,6984,7
ARTS,0,2018.12.00,0,413,1
BIZ,0,2018.12.00,60,2640,2
CHEM,0,2018.12.00,0,53,3
ELEC,0,2018.12.00,0,2430,4
ENG,0,2018.12.00,0,2233,5
Language Centre,0,2018.12.00,60,4581,6
SCI,0,2018.12.00,0,6984,7
ARTS,120,2019.01.00,0,533,2
BIZ,80,2019.01.00,0,2720,3
CHEM,312,2019.01.00,0,365,1
ELEC,0,2019.01.00,0,2430,4
ENG,0,2019.01.00,0,2233,5
Language Centre,0,2019.01.00,0,4581,6
SCI,0,2019.01.00,0,6984,7
ARTS,0,2019.02.00,120,533,1
BIZ,0,2019.02.00,80,2720,2
CHEM,0,2019.02.00,312,365,3
ELEC,0,2019.02.00,0,2430,4
ENG,0,2019.02.00,0,2233,5
Language Centre,0,2019.02.00,0,4581,6
SCI,0,2019.02.00,0,6984,7
ARTS,0,2019.03.00,0,533,2
BIZ,350,2019.03.00,0,3070,1
CHEM,0,2019.03.00,0,365,3
ELEC,0,2019.03.00,0,2430,4
ENG,0,2019.03.00,0,2233,5
Language Centre,0,2019.03.00,0,4581,6
SCI,0,2019.03.00,0,6984,7
