name,value,year,lastValue,rank
ARTS,413,2018.09,413,3
CHEM,53,2018.09,53,4
ELEC,2430,2018.09,2430,5
Language Centre,4521,2018.09,4521,6
SCI,6984,2018.09,6984,7
ARTS,413,2018.10,413,1
BIZ,2580,2018.10,2580,2
CHEM,53,2018.10,53,3
ELEC,2430,2018.10,2430,4
ENG,2233,2018.10,2233,5
Language Centre,4521,2018.10,4521,6
SCI,6984,2018.10,6984,7
BIZ,2640,2018.11,2580,1
Language Centre,4581,2018.11,4521,2
ARTS,413,2018.11,413,3
CHEM,53,2018.11,53,4
ELEC,2430,2018.11,2430,5
ENG,2233,2018.11,2233,6
SCI,6984,2018.11,6984,7
ARTS,413,2018.12,413,1
BIZ,2640,2018.12,2640,2
CHEM,53,2018.12,53,3
ELEC,2430,2018.12,2430,4
ENG,2233,2018.12,2233,5
Language Centre,4581,2018.12,4581,6
SCI,6984,2018.12,6984,7
CHEM,365,2019.01,53,1
ARTS,533,2019.01,413,2
BIZ,2720,2019.01,2640,3
ELEC,2430,2019.01,2430,4
ENG,2233,2019.01,2233,5
Language Centre,4581,2019.01,4581,6
SCI,6984,2019.01,6984,7
ARTS,533,2019.02,533,1
BIZ,2720,2019.02,2720,2
CHEM,365,2019.02,365,3
ELEC,2430,2019.02,2430,4
ENG,2233,2019.02,2233,5
Language Centre,4581,2019.02,4581,6
SCI,6984,2019.02,6984,7
BIZ,3070,2019.03,2720,1
ARTS,533,2019.03,533,2
CHEM,365,2019.03,365,3
ELEC,2430,2019.03,2430,4
ENG,2233,2019.03,2233,5
Language Centre,4581,2019.03,4581,6
SCI,6984,2019.03,6984,7
