name,NotSupported,1xAOLE,2xAOLE,3xAOLE,
ARTS,598478,638789,661666,603013
BIZ,106741,99926,120674,102008
CHEM,892083,912735,939804,857054
ELEC,392177,397185,399698,372998
ENG,5038433,5170341,5809455,5354112
SCI,690830,697447,780508,766382
Language Center,399369,481065,462323,424890

